subject_id,year,yongshin__dw_yong_fit,yongshin__dw_hee_fit,yongshin__dw_gi_fit,yongshin__dw_gu_fit,yongshin__dw_yong_stem_fit,yongshin__dw_yong_branch_fit,yongshin__dw_supplies_fav,yongshin__dw_supplies_unfav,yongshin__sw_yong_fit,yongshin__sw_hee_fit,yongshin__sw_gi_fit,yongshin__sw_gu_fit,yongshin__sw_yong_stem_fit,yongshin__sw_yong_branch_fit,yongshin__sw_supplies_fav,yongshin__sw_supplies_unfav,unseong__dw_state_장생,unseong__dw_state_목욕,unseong__dw_state_관대,unseong__dw_state_건록,unseong__dw_state_제왕,unseong__dw_state_쇠,unseong__dw_state_병,unseong__dw_state_사,unseong__dw_state_묘,unseong__dw_state_절,unseong__dw_state_태,unseong__dw_state_양,unseong__dw_raw_score,unseong__dw_score_x_strength,unseong__sw_state_장생,unseong__sw_state_목욕,unseong__sw_state_관대,unseong__sw_state_건록,unseong__sw_state_제왕,unseong__sw_state_쇠,unseong__sw_state_병,unseong__sw_state_사,unseong__sw_state_묘,unseong__sw_state_절,unseong__sw_state_태,unseong__sw_state_양,unseong__sw_raw_score,unseong__sw_score_x_strength,shinsal__dw_breakdown_scalar,shinsal__dw_gongmang_unseong,shinsal__dw_gongmang_rel,shinsal__dw_gongmang_yfit_branch,shinsal__dw_gongmang_trine,shinsal__dw_gongmang_is_gongmang,shinsal__dw_noble_power,shinsal__dw_신살_길신__count,shinsal__dw_신살_길신__화개_,shinsal__dw_신살_길신__반안_,shinsal__dw_신살_흉살__count,shinsal__dw_indicators_귀인력,shinsal__sw_세운_신살_길신__count,shinsal__sw_세운_신살_길신__문창귀인_,shinsal__sw_세운_신살_길신__천희_,shinsal__sw_세운_신살_흉살__count,shinsal__sw_indicators_귀인력,shinsal__dw_신살_길신__장성_,shinsal__sw_세운_신살_길신__록신_,shinsal__sw_세운_신살_흉살__겁살_,shinsal__sw_세운_신살_흉살__과숙_,shinsal__dw_신살_흉살__과숙_,shinsal__sw_세운_신살_길신__화개_,shinsal__sw_세운_신살_길신__반안_,shinsal__sw_세운_신살_길신__장성_,shinsal__sw_세운_신살_길신__홍란_,shinsal__sw_세운_신살_흉살__도화_,shinsal__dw_신살_길신__록신_,shinsal__dw_신살_길신__홍란_,shinsal__dw_신살_흉살__도화_,shinsal__sw_세운_신살_길신__천을귀인_,shinsal__dw_신살_흉살__망신_,shinsal__dw_신살_흉살__겁살_,shinsal__dw_신살_길신__문창귀인_,shinsal__dw_신살_흉살__역마_,shinsal__sw_세운_신살_흉살__역마_,shinsal__sw_세운_신살_흉살__망신_,shinsal__sw_세운_신살_흉살__고진_,shinsal__sw_세운_신살_흉살__양인_,shinsal__dw_신살_흉살__고진_,shinsal__dw_신살_흉살__양인_,shinsal__dw_신살_길신__천을귀인_,shinsal__dw_신살_길신__천희_
MLV1_PUB_005,2018,0.2,1.0,0.85,0.0,0.0,0.2,1.0,1.0,0.3,0.85,1.0,0.0,0.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_010,1948,0.0,0.3,0.85,0.2,0.0,0.0,0.0,1.0,0.0,1.0,0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MLV1_PUB_010,1952,0.0,0.3,0.85,0.2,0.0,0.0,0.0,1.0,0.0,0.65,0.5,0.2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,-8.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_010,1956,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.3,0.55,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-10.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0,1.0,0.0,7.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
MLV1_PUB_014,1996,0.2,0.0,1.0,0.0,0.0,0.2,0.0,1.0,1.0,0.35,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_014,2002,0.35,0.8,0.2,0.0,0.35,0.0,1.0,0.0,0.35,0.7,0.3,0.0,0.35,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,3.0,1.0,1.0,1.0,1.0,0.0,-8.0,0.0,0.0,0.0,3.0,-8.0,2.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
MLV1_PUB_014,2017,0.35,1.0,0.0,0.0,0.35,0.0,1.0,0.0,0.0,0.35,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,-10.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_014,2018,0.35,1.0,0.0,0.0,0.35,0.0,1.0,0.0,0.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-8.0,-8.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,6.0,3.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_020,1971,0.35,0.8,0.5,0.0,0.35,0.0,1.0,1.0,0.7,0.65,0.0,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-10.0,10.0,-1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_020,1974,0.35,0.8,0.5,0.0,0.35,0.0,1.0,1.0,0.0,1.0,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-10.0,-1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLV1_PUB_020,1976,0.0,1.0,0.7,0.0,0.0,0.0,1.0,1.0,0.3,0.55,0.35,0.0,0.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,-2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MLV1_PUB_022,1966,0.0,1.0,0.0,0.35,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MLV1_PUB_022,1970,0.0,1.0,0.0,0.35,0.0,0.0,1.0,1.0,0.55,0.0,0.8,0.0,0.35,0.2,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,-8.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
MLV1_PUB_022,1972,0.3,0.2,0.5,0.35,0.0,0.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,-12.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
MLV1_PUB_022,1973,0.3,0.2,0.5,0.35,0.0,0.3,0.0,1.0,0.3,0.55,0.5,0.0,0.0,0.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
